BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio,Library Formula,Library Molecular Weight
1,"Tartaric acid, 4TMS",,lib,,true,1660.7594936708863,1659.0,69,caice_sse,0,331,481,84.02999877929688,,0,40.51185427391262,0.30959154225627344,18066.088206682703,1085890.967715073,,,0.0,0.0,0.0,-,0
4,20200803_1919_blob_591,,lib,,true,1811.1111111111113,1815.0,10,caice_ssa_fb_0803_1919,0,279,399,82.63999938964844,,0,45.159511304384296,0.2889521061058552,12205.310040489305,469372.44938012416,,,0.0,0.0,0.0,-,0
2,a-bisabolol,,lib,,true,1927.777777777778,1719.0,71,caice_sse,0,0,485,3.0299999713897705,,0,48.46801291929634,0.6914211110390107,15461.000429539392,372004.7966612678,,,0.0,0.0,0.0,-,0
5,"homosalate, TMS",fb,lib,,true,2054.961832061069,2055.0,74,caice_sse,0,951,951,89.73999786376953,,0,51.93406223015657,0.5779042122117104,10340.838057610046,243827.76533207484,,,0.0,0.0,0.0,-,0
6,glucose-13C6,,lib,,true,1987.4999999999998,1986.0,24,caice_ssi,0,832,840,70.91999816894531,,0,50.1616506507394,0.8565366002423566,8583.376793553005,243626.21936353736,,,0.0,0.0,0.0,-,0
3,20200803_1919_blob_567,fb,lib,,true,1492.6553672316384,1493.0,2,caice_ssa_fb_0803_1919,0,886,886,83.33000183105469,,0,34.87952414376473,0.25799295188022786,12946.960945904953,238724.87526955095,,,0.0,0.0,0.0,-,0
7,C16,,lib,,true,1837.5,1627.0,9,caice_sse,0,0,502,4.0,,0,45.9078628601382,0.5882239302869195,5669.18310930091,67167.28003608526,,,0.0,0.0,0.0,-,0
29,C24,,lib,oil,true,2443.243243243243,2443.0,16,caice_sse,0,893,894,74.62000274658203,,0,61.34753706306107,0.22703379765460052,944.2845129531343,57550.15057121175,,,0.0,0.0,0.0,-,0
9,a-bisabolol,,lib,,true,1899.9999999999998,1719.0,71,caice_sse,0,0,511,3.0299999713897705,,0,47.68027443955537,1.0113323713704934,3087.177238948527,57260.81641231622,,,0.0,0.0,0.0,-,0
10,DPPA,,lib,,true,1959.7222222222222,1954.0,80,caice_sse,0,162,166,68.13999938964844,,0,49.373912170998445,0.2889521061058552,2687.291538272286,52687.10355964127,,,0.0,0.0,0.0,-,0
33,C23,,lib,oil,true,2341.6666666666665,2342.0,15,caice_sse,0,885,887,75.75,,0,59.02370854782523,0.2167140795793914,809.3078631972239,47528.53788835501,,,0.0,0.0,0.0,-,0
469,C34,,lib,oil,true,2376.6666666666665,3461.0,1,caice_sse,0,0,824,2.5,,0,59.85083395155324,0.23735351572980964,398.4800581821182,42268.96244160327,,,0.0,0.0,0.0,-,0
11,"homosalate, TMS",,lib,,true,1970.8333333333333,2055.0,74,caice_sse,0,0,851,2.700000047683716,,0,49.68900756289483,0.4747070314596193,2558.735832818784,39162.72885878755,,,0.0,0.0,0.0,-,0
443,C25,,lib,oil,true,2545.945945945946,2545.0,17,caice_sse,0,922,922,74.62000274658203,,0,63.592591730322816,0.2167140795793914,458.6058360403258,37522.76158436769,,,0.0,0.0,0.0,-,0
18,"d-C15 alcohol, TMS",,lib,,true,1873.6111111111113,1869.0,4,caice_ssi,0,260,264,64.93000030517578,,0,46.93192288380146,0.5779042122117104,1547.2218358416576,36156.03849948325,,,0.0,0.0,0.0,-,0
16,FAME16 (Methyl Palmitate),,lib,,true,1956.9444444444446,1958.0,42,caice_sse,0,952,952,73.5199966430664,,0,49.295138323024354,0.38182956878273727,1916.366072373523,34901.984758176404,,,0.0,0.0,0.0,-,0
638,tridecanal,,lib,oil,true,2479.2792792792793,1537.0,90,caice_sse,0,0,701,3.0299999713897705,,0,62.135275542802034,0.2786323880306461,254.6540593903046,32147.322321823027,,,0.0,0.0,0.0,-,0
17,DEET,,lib,,true,1863.888888888889,1599.0,41,caice_sse,0,0,587,3.2200000286102295,,0,46.65621441589212,0.5469450579860831,1821.512916663196,31892.675351474034,,,0.0,0.0,0.0,-,0
495,C24,,lib,oil,true,2432.432432432432,2443.0,16,caice_sse,0,429,717,68.48999786376953,,0,61.11121551913878,0.24767323380501877,355.38368723125313,29901.49545931079,,,0.0,0.0,0.0,-,0
13,xanthone,,lib,,true,1901.388888888889,1905.0,93,caice_sse,0,259,265,75.75,,0,47.71966136354242,0.6707816748885924,2435.095663375454,27476.892299958923,,,0.0,0.0,0.0,-,0
453,"Tartaric acid, 4TMS",,lib,,true,1659.493670886076,1659.0,69,caice_sse,0,306,468,86.19999694824219,,0,40.472467349925566,1.2796450413259302,427.8574243344483,26802.052295615427,,,0.0,0.0,0.0,-,0
514,C24,,lib,oil,true,2423.423423423423,2443.0,16,caice_sse,0,14,690,3.3499999046325684,,0,60.91428089920354,0.268312669955437,342.0989835188957,26009.72750064067,,,0.0,0.0,0.0,-,0
619,C23,,lib,oil,true,2320.0,2342.0,15,caice_sse,0,22,781,5.210000038146973,,0,58.51167853599361,0.22703379765460052,273.89776541014726,25231.062950468277,,,0.0,0.0,0.0,-,0
482,C23,,lib,oil,true,2351.666666666666,2342.0,15,caice_sse,0,610,813,72.45999908447266,,0,59.26003009174752,0.23735351572980964,376.71349887759425,22426.60834349609,,,0.0,0.0,0.0,-,0
551,C24,,lib,oil,true,2450.4504504504503,2443.0,16,caice_sse,0,529,696,67.55999755859375,,0,61.505084759009264,0.268312669955437,310.7395017313538,22286.404857287635,,,0.0,0.0,0.0,-,0
521,C34,,lib,oil,true,2414.4144144144143,3461.0,1,caice_sse,0,0,735,2.119999885559082,,0,60.717346279268305,0.25799295188022786,338.52702531016257,22082.43600087514,,,0.0,0.0,0.0,-,0
669,tridecanal,,lib,oil,true,2529.7297297297296,1537.0,90,caice_sse,0,0,686,3.2200000286102295,,0,63.23810941443938,0.2889521061058552,171.64138279788313,21972.150231380598,,,0.0,0.0,0.0,-,0
665,tridecanal,,lib,oil,true,2518.9189189189187,1537.0,90,caice_sse,0,0,659,3.0299999713897705,,0,63.00178787051709,0.30959154225627344,184.96051781030837,21840.42652372466,,,0.0,0.0,0.0,-,0
