BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio,Library Formula,Library Molecular Weight
885,"2,2,4-Trimethyl-3-(3,8,12,16-tetramethyl-heptadeca-3,7,11,15-tetraenyl)-cyclohexanol",,lib,oil,true,2691.26213592233,,35374,mainlib,194014,743,763,19.959999084472656,,0,66.62538487732552,0.35087041455710993,39.88815537572373,2185.4015608922214,,,0.0,0.0,0.0,C30H52O,428
859,Epistephamiersine,,lib,,true,1944.4444444444446,,207093,mainlib,100469,702,771,29.09000015258789,,0,48.940656007140916,0.4747070314596193,45.58259578724392,2167.2214400996763,,,0.0,0.0,0.0,C21H27NO6,389
772,"naphthalene, 1-(2-phenylethynyl)-",,lib,,true,2524.324324324324,,199996,mainlib,400963,766,908,51.060001373291016,,0,63.119948642478235,0.8668563183175656,67.5901780067943,2166.626985408149,,,0.0,0.0,0.0,C18H12,228
838,"Benzo[b]dihydropyran, 6-hydroxy-4,4,5,7,8-pentamethyl-",,lib,,true,2258.333333333333,,196125,mainlib,128656,699,777,23.489999771118164,,0,57.05436234847283,0.7533394194902654,47.90685135405511,2161.302089608911,,,0.0,0.0,0.0,C14H20O2,220
740,"6,7-Dimethylthieno[2,3-b]quinolin-3-ylamine",,lib,,true,2067.175572519084,,200004,mainlib,306623,665,706,15.279999732971191,,0,52.249157622052955,0.536625339910874,81.69592856359668,2151.8600347006995,,,0.0,0.0,0.0,C13H12N2S,228
886,"2-Cyclohexene-1-carboxylic acid, 2-(7-hydroxy-3-methyl-1,3-octadienyl)-1,3-dimethyl-4-oxo-, methyl ester, [R-[R*,S*-(E,E)]]-",,lib,,true,2137.4045801526718,,7389,mainlib,15109,684,730,40.540000915527344,,0,54.060956125457174,0.31991126033148254,40.14478180723381,2140.6491797447925,,,0.0,0.0,0.0,C19H28O4,320
808,"Benzoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",,lib,,true,1843.0555555555557,1848.0,209370,mainlib,352483,666,683,37.13999938964844,,0,46.0654105560864,0.5263056218356649,56.25271981442347,2132.602857609625,,,0.0,0.0,0.0,C16H24O3,264
930,"Phthalic acid, 5-methylhex-2-yl ethyl ester",,lib,,true,1801.3888888888894,,138947,mainlib,371093,697,869,11.710000038146973,,0,44.88380283647496,0.8874957544679839,35.04737485689111,2107.5936034093074,,,0.0,0.0,0.0,C17H24O4,292
1023,"Naphtho[3,4:2,3]bornene",,lib,,true,2316.6666666666665,,179916,mainlib,210683,607,645,10.510000228881836,,0,58.43290468801951,1.259005605175512,25.53063823276898,2062.0753357681488,,,0.0,0.0,0.0,C18H20,236
813,"1-Propene-2-thiol, 1,1-diphenyl-",,lib,,true,2181.679389312977,,198993,mainlib,62069,691,715,20.149999618530273,,0,55.203176921081564,0.6811013929638016,54.72005101875402,2061.7079652672273,,,0.0,0.0,0.0,C15H14S,226
