"","cpnd","dates","slope","r2","d_alkane_RTI"
"74","C30",2020-07-31,0.00120332789465001,0.974323199140554,3058
"75","C29",2020-07-31,0.0012529930200247,0.986677921905252,2954
"76","C28 acid",2020-07-31,0.00376888634595994,0.980555271953869,3292
"77","C28",2020-07-31,0.000823924188592039,0.978034071696622,2852
"78","C27",2020-07-31,0.00236419013633256,0.990579690127845,2750
"79","C26 acid",2020-07-31,0.00299763297620955,0.97749007281419,3091
"80","C26",2020-07-31,0.00284715591820203,0.976074561898766,2649
"81","C25",2020-07-31,0.0015428262743948,0.993377748913289,2545
"82","C24 acid",2020-07-31,0.00125606794453753,0.965000273455267,2888
"83","C24",2020-07-31,0.00111938239165495,0.982801483408787,2443
"84","C23",2020-07-31,0.00037060428726119,0.982843204734658,2342
"85","C22 acid",2020-07-31,0.0032048418674816,0.986875704819559,2683
"86","C22",2020-07-31,0.000465925872356255,0.989071558180623,2238
"87","C21",2020-07-31,0.000383703312117887,0.99192257754969,2136
"88","C20",2020-07-31,0.000449367949946315,0.994646357616046,2035
"89","C19",2020-07-31,0.000398034173950104,0.988703787467101,1934
"90","C18 Acid",2020-07-31,0.000248099559813285,0.999218022612999,2280
"91","C18",2020-07-31,0.00058013090447609,0.990746916032666,1831
"92","C17 acid",2020-07-31,0.000879739577037297,0.949890447696411,2177
"93","C17",2020-07-31,0.00481034460044948,0.99658811450982,1729
"94","C16 Acid",2020-07-31,0.000370438371978731,0.945180704049398,2079
"95","C16",2020-07-31,0.093887163318455,0.962886655378742,1627
"96","C14 Diacid",2020-07-31,0.000509637290660296,0.935529820925598,2318
"97","C13 acid",2020-07-31,0.000401569691703642,0.988014185631127,1776
"98","C12 diacid",2020-07-31,0.000451726367523917,0.93417316009312,2120
"99","C10 diacid (sebacic acid)",2020-07-31,0.000342501700505827,0.922395479314039,1923
"100","C10 carboxylic acid",2020-07-31,0.0946544602394435,0.970170468097164,1479
"101","beta-sitosterol",2020-07-31,0.00312549579808978,0.976416953427221,3407
"102","Benzothiazole, 2-phenyl-",2020-07-31,0.000423474344085088,0.998963478125121,2024
"103","Benzothiazole",2020-07-31,0.0734949260659227,0.996918538442772,1246
"104","benzophenone",2020-07-31,0.00117503561213775,0.992144150149328,1662
"105","arabitol",2020-07-31,0.00162685387276264,0.967449493006012,1744
"106","anthraquinone",2020-07-31,0.000552570052264535,0.96077782528431,2017
"107","abietic acid",2020-07-31,0.0131379400657951,0.992762845011029,2468
"108","a-Amyrin",2020-07-31,0.00160162741555914,0.982179251985777,3480
"109","9H-Florenone",2020-07-31,0.000202979717797781,0.994290681088956,1776
"110","4-nitrocatechol",2020-07-31,0.000558804412038368,0.884809592657971,1770
"111","4-hydroxybenzoic acid",2020-07-31,0.0162716322717148,0.951676017143502,1651
"112","4-Bromodiphenylamine",2020-07-31,0.0004611762052282,0.990379982771514,1993
"113","4-Benzoylbenzoic acid",2020-07-31,0.000242468959498495,0.978280015805841,2242
"114","4, 4 dimethoxy-benzophenone",2020-07-31,0.000640773967633365,0.955881609641706,2292
"115","3-5-dimethoxyphenol",2020-07-31,0.0309040912703782,0.999145458812017,1525
"116","2-mercaptobenzothiazole",2020-07-31,0.00947560907490006,0.874823905257993,2000
"117","2-Ketoglutaric acid, tri-TMS",2020-07-31,0.334867056097028,0.96464745222685,1629
"118","2-(methylmercapto)benzothiazole",2020-07-31,0.117412950973799,0.99313982964339,1637
"119","16-OH C16 Acid, TMS",2020-07-31,0.00264100772377078,0.971919629566563,2430
"120","12-OH C18 Acid, TMS",2020-07-31,0.00186968751010593,0.915483477388098,2471
"121","xanthone",2020-08-07,0.000930600687318555,0.955474347803186,1905
"122","vanillin",2020-08-07,0.00569246603804016,0.995527912181483,1557
"123","vanillic acid",2020-08-07,0.000242386633505897,0.948710077069603,1789
"124","tridecanal",2020-08-07,0.11469909665373,0.88526974079061,1537
"125","Tricarballylic acid",2020-08-07,0.000302598953985691,0.975576645149433,1757
"126","triacetin",2020-08-07,0.0139669125169768,0.939269099965853,1351
"127","trans ferulic acid",2020-08-07,0.000473702659285449,0.927428287253123,2124
"128","threitol",2020-08-07,0.0156027466696375,0.98597386317493,1521
"129","Tartaric acid, 4TMS",2020-08-07,0.00329365378954757,0.840829829205593,1659
"130","syringol",2020-08-07,0.0354087138501665,0.967635146672497,1418
"131","syringic acid",2020-08-07,0.00025603421730093,0.983964665087782,1926
"132","syringaldehyde",2020-08-07,0.000477513326913421,0.932473689581096,1725
"133","stigmasterol",2020-08-07,0.00425250995356486,0.998519210254843,3346
"134","squalene",2020-08-07,0.00208066782896436,0.922660161599166,2867
"135","sinapinaldehyde",2020-08-07,0.000905991503668043,0.96059037880124,2033
"136","resorcinol",2020-08-07,0.00946468014604849,0.938934013135993,1398
"137","Quinoline",2020-08-07,0.024934230444392,0.992402509566719,1256
"138","Pyrocatechoic acid",2020-08-07,0.000152701119769134,0.945808824800994,1846
"139","pyrene",2020-08-07,0.000137582268841249,0.968792280594064,2170
"140","pinonic acid",2020-08-07,0.0106200064942126,0.998236350841397,1549
"141","pinic acid 2",2020-08-07,0.00242546467463185,0.955092824954046,1697
"142","pinic acid 1",2020-08-07,0.00178697985904434,0.984595136319094,1692
"143","phthalimide",2020-08-07,0.0189541058273275,0.946118494925966,1592
"144","phthalic acid",2020-08-07,0.00262606548607947,0.98219014087209,1714
"145","perylene",2020-08-07,0.00246065996951485,0.981492998748733,2965
"146","pentadecanone",2020-08-07,0.000637966577743178,0.972402317321452,1727
"147","p-anisic acid (4-methozybenzoic acid)",2020-08-07,0.0320580830353574,0.975352891051783,1544
"148","oleic Acid, TMS",2020-08-07,0.000484432111378729,0.988070985277472,2252
"149","octadecanone",2020-08-07,0.000520188084723248,0.982509176118169,2032
"150","octadecanol",2020-08-07,0.000142579792031502,0.991566772767247,2189
"151","monostearin",2020-08-07,0.00292085350988318,0.976416058877848,2827
"152","monopalmitin",2020-08-07,0.00249793196665298,0.969215710648691,2629
"153","Me-OH-glutatric acid",2020-08-07,0.03092451704372,0.990440280711923,1623
"154","MBTCA",2020-08-07,0.000297729524704542,0.996155899952582,1776
"155","mannosan",2020-08-07,0.00218351217423041,0.995672127689346,1706
"156","Malic acid, 3TMS derivative",2020-08-07,0.0877965886196667,0.982446393233602,1510
"157","linoleic Acid, TMS",2020-08-07,0.00124736239944522,0.985866601601063,2245
"158","levoglucosan",2020-08-07,0.000481895058482712,0.998288436546695,1727
"159","ketopinic acid",2020-08-07,0.00813456571915925,0.999081077667998,1529
"160","isopimaric acid",2020-08-07,0.00134981635127959,0.981510388534357,2383
"161","ionone",2020-08-07,0.185286508193326,0.935867098543787,1447
"162","hydroquinone",2020-08-07,0.0165198722121385,0.864844213932947,1419
"163","homosalate, TMS",2020-08-07,0.000377119896228284,0.989485939749105,2055
"164","Hexadecanol",2020-08-07,0.000337767112010371,0.979503560023141,1992
"165","hexadecanamide",2020-08-07,0.00165639630333975,0.977477682503163,2212
"166","gamma dodecalactone",2020-08-07,0.000764916649051891,0.918069402990294,1708
"167","galactosan",2020-08-07,0.00265653998445232,0.989722299058262,1684
"168","Farnesol",2020-08-07,0.00352049112578636,0.927305947854557,1804
"169","FAME18 (Methyl Stearate)",2020-08-07,0.000591299954086607,0.988627161865619,2161
"170","FAME16 (Methyl Palmitate)",2020-08-07,0.000347759523798458,0.972780288914391,1958
"171","erythreitol",2020-08-07,0.0123160682099453,0.992888228790889,1529
"172","eicosanol, TMS",2020-08-07,0.0004544149147817,0.988321808748447,2392
"173","DPPA",2020-08-07,0.00135746915549516,0.940865632181769,1954
"174","dodecyl benzene",2020-08-07,0.000445902166127458,0.988793993936458,1920
"175","DL-B-hydroxymyristic acid",2020-08-07,0.000355801478978602,0.983151961848296,2058
"176","dimethyl Glutaric Acid, TMS",2020-08-07,0.0797871411689209,0.915203898025077,1456
"177","dibenz(ah)anthracene",2020-08-07,0.00554649781796199,0.994458095563685,3278
"178","Dehydroabietic acid",2020-08-07,0.000670252864187107,0.920208551249834,2430
"179","DEET",2020-08-07,0.00194439415030621,0.950962988310137,1599
"180","Citronellol, TMS",2020-08-07,0.345678982947649,0.947682702972796,1317
"181","cis-Vaccenic Acid, TMS",2020-08-07,0.000668433148616236,0.975989025564337,2258
