BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
3,octadecanol,,,,true,2190.909090909091,2189.0,122,caice_sse,0,966,966,98.72000122070312,,90,55.13068970315559,0.25591185298433194,11717.30427813068,395493.68980530556,,,0.0,0.0,10.800751069911234
2,Pyrocatechoic acid,,,,true,1845.833333333333,1846.0,86,caice_sse,0,963,963,80.63999938964844,,74,45.87128703847649,0.5015872318492907,11661.092936549452,395210.4619494286,,,0.0,0.0,7.340242552170422
1,MBTCA,,,,true,1777.3584905660377,1776.0,45,caice_sse,0,955,955,98.98999786376953,,126,43.878757351140486,0.6448978695205165,11839.004932398051,358013.63165347086,,,0.0,0.0,26.52972866595707
19,Dehydroabietic acid,,,,true,2430.63063063063,2430.0,81,caice_sse,0,970,970,78.12000274658203,,85,60.717586669607535,0.5015872318492907,8323.160303617362,264517.1333829886,,,0.0,0.0,5.530964021740839
21,monopalmitin,,,,true,2630.769230769231,2629.0,120,caice_sse,0,961,961,65.77999877929688,,82,65.01519972072442,0.44016838713305095,8178.977461834889,250020.95499495452,,,0.0,0.0,2.406965994699771
27,monostearin,,,,true,2827.083333333334,2827.0,59,caice_sse,0,943,943,68.48999786376953,,112,68.96118988584084,0.45040486125242424,7623.643309490639,238951.37907326565,,,0.0,0.0,10.600656216738077
33,"homosalate, TMS",,,,true,2054.5454545454545,2055.0,74,caice_sse,0,947,947,85.62999725341797,,818,51.61446084315087,0.6039519730430234,7101.012228561216,237486.87507694348,,,0.0,0.0,335.0769067305426
6,Tricarballylic acid,,,,true,1757.2327044025158,1757.0,70,caice_sse,0,959,959,94.77999877929688,,126,43.25364999825076,0.6858437659980096,9814.590402490227,226065.91560303338,,,0.0,0.0,16.75206436657335
14,DL-B-hydroxymyristic acid,,,,true,2056.060606060606,2058.0,79,caice_sse,0,903,904,98.13999938964844,,76,51.65353005270648,0.368513068297438,8396.599093698023,216994.78149164733,,,0.0,0.0,4.782988802134561
22,C18 Acid,,,,true,2280.0,2280.0,34,caice_sse,0,966,966,95.48999786376953,,90,57.24042701915843,0.368513068297438,8126.641211556576,213085.43694476603,,,0.0,0.0,5.819265440610856
39,4-Benzoylbenzoic acid,,,,true,2241.6666666666665,2242.0,96,caice_sse,0,967,967,79.98999786376953,,156,56.341835199379446,0.8803367742661019,6725.2434421530415,212021.81015369826,,,0.0,0.0,21.0499329635245
29,trans ferulic acid,,,,true,2124.242424242424,2124.0,62,caice_sse,0,959,959,84.73999786376953,,156,53.411644482708844,0.6551343436398898,7549.163882379653,210967.4545725385,,,0.0,0.0,20.94525451423175
9,C9 Diacid (azelaic acid),,,,true,1822.2222222222222,1822.0,39,caice_sse,0,970,970,98.12000274658203,,126,45.20711047603116,0.6141884471623966,9461.115653904853,208956.9675780061,,,0.0,0.0,15.48424742125862
4,vanillic acid,,,,true,1788.6792452830189,1789.0,91,caice_sse,0,960,960,82.63999938964844,,126,44.230380237140956,0.552769602446157,10263.136304778105,190455.29440943,,,0.0,0.0,14.113225969473119
18,C21,,,,true,2136.363636363636,2136.0,13,caice_sse,0,972,972,74.06999969482422,,90,53.72419815915371,0.22520243062621212,8620.300105180708,184470.40660769673,,,0.0,0.0,5.037802101256971
38,C24,,,,true,2443.243243243243,2443.0,16,caice_sse,0,971,971,73.5199966430664,,85,60.99107113649679,0.24567537886495866,7006.861419116962,183671.89850848084,,,0.0,0.0,3.8405174344013777
15,Caffeic acid,,,,true,2168.181818181818,2168.0,77,caice_sse,0,980,980,98.8499984741211,,156,54.544651559821475,0.5732425506849036,8513.756621567765,183565.20171836723,,,0.0,0.0,18.224706164928868
36,"eicosanol, TMS",,,,true,2391.6666666666665,2392.0,129,caice_sse,0,962,962,98.55000305175781,,85,59.85806405938417,0.25591185298433194,7163.089032278163,182597.102336094,,,0.0,0.0,3.8180438090291817
24,C23,,,,true,2341.6666666666665,2342.0,15,caice_sse,0,964,964,75.75,,85,58.685987772715926,0.24567537886495866,7979.478738380509,175053.45113648538,,,0.0,0.0,3.6603086073657547
10,"Tartaric acid, 4TMS",,,,true,1660.377358490566,1659.0,69,caice_sse,0,959,959,98.73999786376953,,828,40.24532086246894,0.42993191301367767,9057.429546135012,168286.57796439546,,,0.0,0.0,197.58069704415797
5,Hexadecanol,,,,true,1990.2777777777776,1992.0,44,caice_sse,0,955,955,98.48999786376953,,76,49.93448483225973,0.23543890474558538,10134.451607459894,167886.11703712336,,,0.0,0.0,3.700537922168063
26,C12 diacid,,,,true,2119.69696969697,2120.0,29,caice_sse,0,955,955,67.11000061035156,,156,53.29443685404202,0.5732425506849036,7738.724859533948,165817.5042639711,,,0.0,0.0,16.46268063839868
7,C20,,,,true,2034.8484848484848,2035.0,12,caice_sse,0,969,969,98.66000366210938,,76,51.10656111892797,0.22520243062621212,9704.273263187148,162766.86096054234,,,0.0,0.0,3.587699519690219
16,C19,,,,true,1933.3333333333333,1934.0,11,caice_sse,0,966,966,74.06999969482422,,74,48.3326472404798,0.21496595650683883,8753.614218737677,160386.61025268282,,,0.0,0.0,2.978859961267322
37,isopimaric acid,,,,true,2383.333333333333,2383.0,115,caice_sse,0,954,954,76.91999816894531,,85,59.662718011606124,0.5322966542074105,7022.505491732856,158877.50572220734,,,0.0,0.0,3.322075045857752
17,C10 diacid (sebacic acid),,,,true,1923.611111111111,1923.0,28,caice_sse,0,870,882,98.68000030517578,,818,48.05916277359054,0.6039519730430234,8384.243280700946,158834.6087504324,,,0.0,0.0,224.10421361015216
