BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
1,MBTCA,,,,true,1777.2151898734178,1776.0,45,caice_sse,0,951,951,98.9800033569336,,138,43.98988057894299,0.7227739308475415,12031.373764331103,251006.98744907358,,,0.0,0.0,44.37045317733251
2,octadecanol,,,,true,2190.839694656488,2189.0,122,caice_sse,0,963,963,98.63999938964844,,89,55.22127119722031,0.34073628168526954,10518.58956117672,248440.08589646383,,,0.0,0.0,12.979799556774463
3,Pyrocatechoic acid,,,,true,1845.070422535211,1846.0,86,caice_sse,0,968,968,80.63999938964844,,64,45.9602999856583,0.5678938028087825,9085.25443203887,183116.67422125515,,,0.0,0.0,5.958045212294989
26,Dehydroabietic acid,,,,true,2430.9090909090905,2430.0,81,caice_sse,0,948,948,76.33000183105469,,95,60.856670700426136,0.5678938028087825,5402.810993797844,134860.64762639202,,,0.0,0.0,5.584070519470907
4,vanillic acid,,,,true,1788.6075949367087,1789.0,91,caice_sse,0,971,971,82.63999938964844,,138,44.34455607215174,0.6298458540242862,8890.765691907902,132596.38635134313,,,0.0,0.0,23.439035749072236
13,monopalmitin,,,,true,2629.126213592233,2629.0,120,caice_sse,0,961,961,64.93000030517578,,93,65.11277661893124,0.5162670934625296,6582.323573612375,131187.0912936626,,,0.0,0.0,2.423496055259965
5,Tricarballylic acid,,,,true,1756.9620253164558,1757.0,70,caice_sse,0,964,964,97.4800033569336,,138,43.359346368794085,0.7537499564552932,7967.528470879683,129848.76523989622,,,0.0,0.0,22.95333933434896
14,C9 Diacid (azelaic acid),,,,true,1822.5352112676057,1822.0,39,caice_sse,0,967,967,98.05999755859375,,138,45.32976577550941,0.6917979052397897,6593.698095596861,125466.62252238704,,,0.0,0.0,22.17870887389981
34,syringic acid,,,,true,1925.3521126760563,1926.0,113,caice_sse,0,463,468,75.75,,834,48.206578109313774,0.7744006401937944,4911.458555422956,124147.50943039624,,,0.0,0.0,353.3816213764029
30,monostearin,,,,true,2825.263157894736,2827.0,59,caice_sse,0,960,960,67.11000061035156,,117,69.05361543236187,0.5162670934625296,5046.791144748218,123490.95968753607,,,0.0,0.0,9.517054592232435
29,4-Benzoylbenzoic acid,,,,true,2243.3333333333335,2242.0,96,caice_sse,0,956,956,79.98999786376953,,1711,56.48233961751813,0.9499314519710544,5076.272486487636,117029.04042469377,,,0.0,0.0,7.831120255936327
9,C18 Acid,,,,true,2280.0,2280.0,34,caice_sse,0,958,958,93.83000183105469,,89,57.34932415647287,0.44398970037777546,6833.815609487647,110056.5496271326,,,0.0,0.0,5.74992537502868
25,DL-B-hydroxymyristic acid,,,,true,2058.0152671755723,2058.0,79,caice_sse,0,940,940,98.19999694824219,,82,51.79274142953566,0.43366435850852486,5445.860910044794,105234.21785767886,,,0.0,0.0,4.911978634025109
8,C20,,,,true,2035.1145038167938,2035.0,12,caice_sse,0,969,969,98.6500015258789,,82,51.20161560752106,0.3097602560775178,7044.65222926205,96855.29444597455,,,0.0,0.0,4.520878727433072
20,C21,,,,true,2137.4045801526718,2136.0,13,caice_sse,0,967,967,74.06999969482422,,89,53.84197761251959,0.3097602560775178,6107.126135579543,95837.0298080756,,,0.0,0.0,5.007023856624525
21,C23,,,,true,2341.6666666666665,2342.0,15,caice_sse,0,960,960,74.06999969482422,,95,58.8074345174422,0.33041093981601893,5985.648717218894,93123.16444873961,,,0.0,0.0,3.8558788381221123
11,Hexadecanol,,,,true,1991.5492957746476,1992.0,44,caice_sse,0,960,960,98.08000183105469,,82,50.058772351626175,0.32008559794676833,6963.103013585933,92797.22503607528,,,0.0,0.0,4.331461723699798
