BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
1,pentaerythritol-C13,,,,true,1526.2569832402237,1527.0,25,caice_ssi,0,958,958,97.87999725341797,,1,35.85434590732711,0.29404700884034496,4440.0421249588835,51116.221313265516,,,0.0,0.0,1.0
2,C16 Acid,,,,true,2078.1954887218044,2079.0,32,caice_sse,0,966,966,92.62999725341797,,4,52.224145680509686,0.4562798413039836,3460.4129950555507,39815.96983018272,,,0.0,0.0,1.028193127278378
4,dC20,,,,true,2000.0,2000.0,14,caice_ssi,0,896,897,92.19000244140625,,4,50.211782587825304,0.3041865608693224,2705.4776469593635,38724.21315981307,,,0.0,0.0,1.0
7,dC22,,,,true,2200.0,2200.0,15,caice_ssi,0,899,901,75.75,,7,55.35878819026805,0.3143261128982998,1723.8963647144847,35633.24408953157,,,0.0,0.0,1.0
5,dC24,,,,true,2400.0,2400.0,16,caice_ssi,0,881,882,78.12000274658203,,5,60.04140230978364,0.3346052169562546,2014.9296015534583,31836.299841422642,,,0.0,0.0,1.0
3,"d-C15 alcohol, TMS",,,,true,1868.9655172413795,1869.0,4,caice_ssi,0,867,867,75.18000030517578,,3,46.53535001465192,0.32446566492727724,3295.6341510531493,29446.260405553254,,,0.0,0.0,1.0
27,"d-C15 alcohol, TMS",,,,true,1870.344827586207,1869.0,4,caice_ssi,0,547,627,98.5999984741211,,3,46.574049304895844,0.3954425291301191,707.1542913812082,18706.88564703282,,,0.0,0.0,0.6352890108757205
6,C18 Acid,,,,true,2279.3388429752067,2280.0,34,caice_sse,0,947,947,92.16999816894531,,7,57.21635412197672,0.44614028927500615,1769.4910753532604,17903.240497930165,,,0.0,0.0,0.502430832650172
12,MBTCA,,,,true,1776.25,1776.0,45,caice_sse,0,940,940,98.97000122070312,,16,43.86509898782071,0.7097686420284189,1273.0370196350268,16696.30485383344,,,0.0,0.0,1.4327000780662846
8,octadecanol,,,,true,2189.4736842105267,2189.0,122,caice_sse,0,937,937,97.9800033569336,,7,55.08789315856055,0.32446566492727724,1615.7013280356769,15862.004973913881,,,0.0,0.0,0.4451462497789772
13,dC26,,,,true,2600.0,2600.0,17,caice_ssi,0,923,924,78.12000274658203,,13,64.37572281710385,0.34474476898523204,1304.143683220609,15208.674990770276,,,0.0,0.0,1.0
10,"d-C22 acid, TMS",,,,true,2647.6190476190477,2649.0,5,caice_ssi,0,854,857,79.36000061035156,,10,65.34320507320211,0.466419393332961,1370.9089315641904,14369.980884173376,,,0.0,0.0,1.0
14,dC28,,,,true,2800.0,2800.0,18,caice_ssi,0,919,920,78.12000274658203,,14,68.43914829271655,0.3650238730431869,1239.7223096571397,12993.014488317407,,,0.0,0.0,1.0
15,Pyrocatechoic acid,,,,true,1845.5172413793102,1846.0,86,caice_sse,0,952,952,80.63999938964844,,3,45.87746208050509,0.5678149136227352,1152.1569293298526,12868.926740412368,,,0.0,0.0,0.4370309357851574
