BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
1,pentaerythritol-C13,,,,true,1525.714285714286,1527.0,25,caice_ssi,0,964,964,98.04000091552734,,1,35.86738934883153,0.2890186347017289,2342.67454192671,18965.967646944,,,0.0,0.0,1.0
6,"d-C15 alcohol, TMS",,,,true,1868.5314685314686,1869.0,4,caice_ssi,0,835,836,76.91999816894531,,6,46.58309930020133,0.3509511992806708,1232.55517979461,15478.47504718199,,,0.0,0.0,1.0
2,dC20,,,,true,2000.0,2000.0,14,caice_ssi,0,893,894,94.83000183105469,,2,50.286322592218845,0.2993407287982192,1216.8210474341467,14156.893488398535,,,0.0,0.0,1.0
7,dC22,,,,true,2200.0,2200.0,15,caice_ssi,0,841,841,75.18000030517578,,7,55.40780161309412,0.30966282289470953,725.9094923990779,12596.188542884429,,,0.0,0.0,1.0
5,dC24,,,,true,2400.0,2400.0,16,caice_ssi,0,873,873,78.12000274658203,,5,60.135320709286695,0.31998491699119985,882.8811076700222,11451.03629212792,,,0.0,0.0,1.0
4,MBTCA,,,,true,1775.9493670886077,1776.0,45,caice_sse,0,931,931,98.97000122070312,,17,43.90417181235888,0.7019023985613416,899.6111310244305,9494.894521594742,,,0.0,0.0,1.8394181657712927
8,octadecanol,,,,true,2190.7692307692314,2189.0,122,caice_sse,0,909,910,98.69000244140625,,7,55.171425658284505,0.31998491699119985,703.7973378202878,6481.111463498179,,,0.0,0.0,0.5145295691179019
11,dC28,,,,true,2800.0,2800.0,18,caice_ssi,0,880,880,78.12000274658203,,11,68.5266671050285,0.3509511992806708,574.4529251193162,5930.624585849584,,,0.0,0.0,1.0
9,Pyrocatechoic acid,,,,true,1844.7552447552448,1846.0,86,caice_sse,0,931,931,81.95999908447266,,6,45.91336742824072,0.5573930812104771,619.7694604364224,5644.463297449642,,,0.0,0.0,0.3646653355866134
12,dC26,,,,true,2600.0,2600.0,17,caice_ssi,0,902,904,78.12000274658203,,12,64.46887988079655,0.33030701108769017,541.3541333830508,5441.536889700167,,,0.0,0.0,1.0
10,C16 Acid,,,,true,2078.461538461539,2079.0,32,caice_sse,0,916,916,65.55000305175781,,2,52.29551820810069,0.4335279520525933,615.8041984487791,5414.944768404913,,,0.0,0.0,0.38249526796556166
18,"d-C22 acid, TMS",,,,true,2648.5436893203882,2649.0,5,caice_ssi,0,863,868,78.73999786376953,,18,65.45377969250333,0.45417214024557395,412.4103239933029,5184.024211034697,,,0.0,0.0,1.0
17,dC18,,,,true,1800.0,1800.0,13,caice_ssi,0,938,938,74.62000274658203,,17,44.65269566925603,0.2890186347017289,481.0189651034307,5161.901028422977,,,0.0,0.0,1.0
16,C18 Acid,,,,true,2279.9999999999995,2280.0,34,caice_sse,0,912,912,81.37999725341797,,7,57.29880925157115,0.44385004614908363,488.88165365322493,4607.2743046134565,,,0.0,0.0,0.3657673342160395
26,dC30,,,,true,3000.0,3000.0,19,caice_ssi,0,888,888,78.12000274658203,,26,72.26928638951428,0.3612732933771611,341.8676203871146,4321.2658933893445,,,0.0,0.0,1.0
22,benzophenone,,,,true,1662.0253164556962,1662.0,51,caice_sse,0,941,941,79.98999786376953,,703,40.35853249021446,0.8980221863946576,377.2430263790302,4288.897715060523,,,0.0,0.0,15.937394116008752
15,vanillic acid,,,,true,1787.3417721518988,1789.0,91,caice_sse,0,922,923,82.63999938964844,,17,44.25873574457332,0.6296477398859094,489.74321770742245,4209.774604065762,,,0.0,0.0,0.8155473305058503
13,levoglucosan,,,,true,1726.5822784810127,1727.0,117,caice_sse,0,933,933,98.94000244140625,,17,42.3677281060963,0.5883593634999481,486.2568892898271,3969.976064465747,,,0.0,0.0,0.7690918602673447
19,dC32,,,,true,3200.0,3200.0,20,caice_ssi,0,888,888,78.12000274658203,,19,75.81492571165869,0.39223957566663203,410.49394529056735,3802.323372770573,,,0.0,0.0,1.0
24,dC34,,,,true,3400.0,3400.0,21,caice_ssi,0,882,883,78.12000274658203,,24,79.1241890789935,0.40256166976312235,346.86481535527855,3797.462903293678,,,0.0,0.0,1.0
31,dC36,,,,true,3600.0,3600.0,22,caice_ssi,0,877,877,75.18000030517578,,31,82.47284843879656,0.4851384225350449,274.00836146662914,3633.0521128464643,,,0.0,0.0,1.0
33,C20,,,,true,2033.8461538461538,2035.0,12,caice_sse,0,908,908,98.66999816894531,,2,51.15303442652081,0.2890186347017289,276.24244603910483,3590.9650824670534,,,0.0,0.0,0.25365487742136517
40,"Benzothiazole, 2-phenyl-",,,,true,2023.0769230769235,2024.0,99,caice_sse,0,931,931,65.77999877929688,,651,50.87726247924292,0.7225465867543222,222.45162767195143,3462.36977554202,,,0.0,0.0,3.3339504294834104
59,C7 acid,,,,true,1833.5664335664337,,100,caice_sse,0,252,404,69.73999786376953,,6,45.59819948849455,0.8257675277192253,199.80881542013958,3425.122117967912,,,0.0,0.0,0.2212829175695502
25,monopalmitin,,,,true,2629.1262135922325,2629.0,120,caice_sse,0,889,889,98.06999969482422,,18,65.05981976782061,0.4851384225350449,344.5530517677689,3066.600447623706,,,0.0,0.0,0.5915482495425368
