BlobID,Compound.Name,Library.Name,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Formula_Underivitized_forMod,Cstar_Cat,Library.Molecular.Weight_NISTmain,Model_Quant,Model_Properties,Notes
1624,20200803_1535_blob_1624_,caice_ssa_final_0803_1535,squalene,57,641,2884.536082,2867,"Tetracosa-2,6,14,18,22-pentaene-10,11-diol, 2,6,10,15,19,23-hexamethyl-",669,698,,C30H52O2,,,444,TRUE,TRUE,
957,20200803_0949_blob_957_,caice_ssa_final_0805_0949,squalene,0,640,1939.43662,2867,11α-Hydroxy-17α-methyl testosterone,654,657,,C20H30O3,,,318,TRUE,TRUE,
1238,20200803_0949_blob_1238_,caice_ssa_final_0805_0949,squalene,0,574,2305.882353,2867,"1-Oxaspiro[4.5]decan-3-carboxylic acid, 2-oxo-4-cyano-, ethyl ester",599,632,,C13H17NO4,,,251,TRUE,TRUE,
649,20200803_0949_blob_649_,caice_ssa_final_0805_0949,Sugar 2,882,882,1646.835443,1646,"D-Erythro-Pentopyranose, 2-deoxy-1,3,4-tris-O-(trimethylsilyl)-",751,767,,C14H34O4Si3,,,350,TRUE,TRUE,
1340,20200803_0949_blob_1340_,caice_ssa_final_0805_0949,Sugar 3,395,416,1615.189873,1618,"Thieno[2,3-b]quinolin-3-amine, 5,6,7,8-tetrahydro-2-octylsulfonyl-",627,661,,C19H28N2O2S2,,,380,TRUE,TRUE,
1465,20200803_0949_blob_1465_,caice_ssa_final_0805_0949,Sugar 3,429,472,1621.518987,1618,1-Phenyl-1-(trimethylsilyloxy)ethylene,525,653,,C11H16OSi,,,192,TRUE,TRUE,
1280,20200803_0949_blob_1280_,caice_ssa_final_0805_0949,Sugar 4,278,298,1696.202532,1697,"1-(1,3-Dimethyl-buta-1,3-dienyl)-3,7,7-trimethyl-2-oxa-bicyclo[3.2.0]hept-3-ene",678,724,,C15H22O,,,218,TRUE,TRUE,
792,20200803_1535_blob_792_,caice_ssa_final_0803_1535,Sugar 6,313,379,1637.974684,1633,"Cyclooctasiloxane, hexadecamethyl-",721,820,1704,C16H48O8Si8,,,592,TRUE,TRUE,
1193,20200803_1535_blob_1193_,caice_ssa_final_0803_1535,Sugar 6,211,274,1639.240506,1633,"10-t-Butyl-10-hydroxytricyclo[4.2.1.1(2,5)]decan-9-one",605,609,,C14H22O2,,,222,TRUE,TRUE,
1003,20200803_1535_blob_1003_,caice_ssa_final_0803_1535,syringic acid,491,561,1931.944444,1926,"1,3-Dioxane, 5-(hexadecyloxy)-2-pentadecyl-, trans-",649,715,,C35H70O3,,,538,TRUE,TRUE,
1095,20200803_1535_blob_1095_,caice_ssa_final_0803_1535,syringic acid,216,511,1915.277778,1926,"5H-Cyclopropa[3,4]benz[1,2-e]azulen-5-one, 9,9a-bis(acetyloxy)-1,1a,1b,2,4a,7a,7b,8,9,9a-decahydro-2,4a,7b-trihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-, [1aR-(1aα,1bß,2ß,4aß,7aα,7bα,8α,9ß,9aα)]-",642,646,,C24H32O9,,,464,TRUE,TRUE,
679,20200803_1535_blob_679_,caice_ssa_final_0803_1535,syringic acid,185,276,1919.444444,1926,"Quinazoline, 4-ethyl-, 1-oxide",632,784,,C10H10N2O,,,174,TRUE,TRUE,
902,20200803_1535_blob_902_,caice_ssa_final_0803_1535,Tricarballylic acid,51,316,1768.35443,1757,2-(1-Butyl-2-nitroallyl)cyclohexanone,760,762,,C13H21NO3,,,239,TRUE,TRUE,
143,20200803_1535_blob_143_,caice_ssa_final_0803_1535,Tricarballylic acid,263,285,1760.759494,1757,"2H-isoindole-2-acetaldehyde, 1,3-dihydro-1,3-dioxo-",754,880,,C10H7NO3,,,189,TRUE,TRUE,
707,20200803_0949_blob_707_,caice_ssa_final_0805_0949,Tricarballylic acid,398,445,1763.291139,1757,"Arabinofuranose, 1,2,3,5-tetrakis-O-(trimethylsilyl)-",742,827,,C17H42O5Si4,,,438,TRUE,TRUE,
579,20200803_1535_blob_579_oil,caice_ssa_final_0803_1535,tridecanal,0,692,2457.657658,1537,17-Pentatriacontene,822,822,,C35H70,,,490,TRUE,TRUE,def an alkane but RI not right
623,20200803_1535_blob_623_oil,caice_ssa_final_0803_1535,tridecanal,0,698,2464.864865,1537,17-Pentatriacontene,817,817,,C35H70,,,490,TRUE,TRUE,def an alkane but RI not right
638,20200803_1535_blob_638_oil,caice_ssa_final_0803_1535,tridecanal,0,701,2479.279279,1537,17-Pentatriacontene,810,811,,C35H70,,,490,TRUE,TRUE,def an alkane but RI not right
642,20200803_1535_blob_642_oil,caice_ssa_final_0803_1535,tridecanal,0,692,2473.873874,1537,17-Pentatriacontene,808,809,,C35H70,,,490,TRUE,TRUE,def an alkane but RI not right
640,20200803_1535_blob_640_oil,caice_ssa_final_0803_1535,tridecanal,0,696,2470.27027,1537,17-Pentatriacontene,803,803,,C35H70,,,490,TRUE,TRUE,def an alkane but RI not right
650,20200803_1535_blob_650_oil,caice_ssa_final_0803_1535,tridecanal,0,694,2488.288288,1537,17-Pentatriacontene,801,802,,C35H70,,,490,TRUE,TRUE,def an alkane but RI not right
649,20200803_1535_blob_649_oil,caice_ssa_final_0803_1535,tridecanal,0,694,2493.693694,1537,17-Pentatriacontene,800,801,,C35H70,,,490,TRUE,TRUE,def an alkane but RI not right
658,20200803_1535_blob_658_oil,caice_ssa_final_0803_1535,tridecanal,0,682,2508.108108,1537,17-Pentatriacontene,781,782,,C35H70,,,490,TRUE,TRUE,RI cant be confirmed
655,20200803_1535_blob_655_oil,caice_ssa_final_0803_1535,tridecanal,0,691,2500.900901,1537,17-Pentatriacontene,780,781,,C35H70,,,490,TRUE,TRUE,RI cant be confirmed
701,20200803_1535_blob_701_oil,caice_ssa_final_0803_1535,tridecanal,0,680,2569.369369,1537,"E,E,Z-1,3,12-Nonadecatriene-5,14-diol",780,813,,C19H34O2,,,294,TRUE,TRUE,RI cant be confirmed
669,20200803_1535_blob_669_oil,caice_ssa_final_0803_1535,tridecanal,0,686,2529.72973,1537,"Tetrapentacontane, 1,54-dibromo-",769,777,,C54H108Br2,,,914,TRUE,TRUE,
672,20200803_1535_blob_672_oil,caice_ssa_final_0803_1535,tridecanal,0,687,2538.738739,1537,17-Pentatriacontene,769,771,,C35H70,,,490,TRUE,TRUE,
803,20200803_1535_blob_803_,caice_ssa_final_0803_1535,tridecanal,0,743,1931.944444,1537,9-Hexadecenoic acid,738,758,1942,C16H30O2,,,254,TRUE,TRUE,
880,20200803_1535_blob_880_,caice_ssa_final_0803_1535,tridecanal,0,670,2475.675676,1537,17-Pentatriacontene,738,742,,C35H70,,,490,TRUE,TRUE,
933,20200803_1535_blob_933_,caice_ssa_final_0803_1535,tridecanal,0,663,2488.288288,1537,"9-Octadecene, 1,1'-[1,2-ethanediylbis(oxy)]bis-, (Z,Z)-",736,753,,C38H74O2,,,562,TRUE,TRUE,
893,20200803_1535_blob_893_,caice_ssa_final_0803_1535,tridecanal,0,649,2479.279279,1537,17-Pentatriacontene,726,731,,C35H70,,,490,TRUE,TRUE,
1018,20200803_1535_blob_1018_,caice_ssa_final_0803_1535,tridecanal,0,687,1875,1537,tert-Hexadecanethiol,725,746,,C16H34S,,,258,TRUE,TRUE,
665,20200803_1535_blob_665_oil,caice_ssa_final_0803_1535,tridecanal,0,659,2518.918919,1537,"Octadecanal, 2-bromo-",724,756,,C18H35BrO,,,346,TRUE,TRUE,
877,20200803_1535_blob_877_,caice_ssa_final_0803_1535,tridecanal,0,650,2497.297297,1537,"Octadecanal, 2-bromo-",718,727,,C18H35BrO,,,346,TRUE,TRUE,
932,20200803_1535_blob_932_,caice_ssa_final_0803_1535,tridecanal,0,661,2508.108108,1537,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",716,783,,C30H52O2,,,444,TRUE,TRUE,
896,20200803_0949_blob_896_,caice_ssa_final_0805_0949,tridecanal,0,730,1825.352113,1537,Pentadecanenitrile,709,794,,C15H29N,,,223,TRUE,TRUE,
900,20200803_1535_blob_900_,caice_ssa_final_0803_1535,tridecanal,0,659,2479.279279,1537,"Octadecanal, 2-bromo-",704,718,,C18H35BrO,,,346,TRUE,TRUE,
1202,20200803_1535_blob_1202_,caice_ssa_final_0803_1535,tridecanal,0,684,2074.80916,1537,17-Pentatriacontene,703,705,,C35H70,,,490,TRUE,TRUE,
686,20200803_1535_blob_686_,caice_ssa_final_0803_1535,tridecanal,0,526,1822.222222,1537,2-Octyl benzoate,700,806,,C15H22O2,,,234,TRUE,TRUE,
968,20200803_1535_blob_968_,caice_ssa_final_0803_1535,tridecanal,0,651,2174.045802,1537,Z-5-Methyl-6-heneicosen-11-one,694,738,,C22H42O,,,322,TRUE,TRUE,
1009,20200803_0949_blob_1009_,caice_ssa_final_0805_0949,tridecanal,0,517,1667.088608,1537,"1,4-Benzenediol, 2,6-bis(1,1-dimethylethyl)-",693,768,,C14H22O2,,,222,TRUE,TRUE,
984,20200803_1535_blob_984_,caice_ssa_final_0803_1535,tridecanal,0,661,2493.693694,1537,"Octadecanal, 2-bromo-",692,712,,C18H35BrO,,,346,TRUE,TRUE,
1222,20200803_1535_blob_1222_,caice_ssa_final_0803_1535,tridecanal,0,651,1902.777778,1537,"Cholestan-3-ol, 2-methylene-, (3ß,5α)-",682,770,,C28H48O,,,400,TRUE,TRUE,
883,20200803_1535_blob_883_,caice_ssa_final_0803_1535,tridecanal,0,615,1902.777778,1537,"Cholestan-3-ol, 2-methylene-, (3ß,5α)-",679,734,,C28H48O,,,400,TRUE,TRUE,
1890,20200803_0949_blob_1890_,caice_ssa_final_0805_0949,tridecanal,0,569,1971.830986,1537,"5,10-Diethoxy-2,3,7,8-tetrahydro-1H,6H-dipyrrolo[1,2-a:1',2'-d]pyrazine",677,718,,C14H22N2O2,,,250,TRUE,TRUE,
812,20200803_1535_blob_812_,caice_ssa_final_0803_1535,tridecanal,0,658,2330,1537,"3,12-Oleandione",659,659,,C30H48O2,,,440,TRUE,TRUE,
948,20200803_1535_blob_948_,caice_ssa_final_0803_1535,tridecanal,0,631,2517.117117,1537,"2,6,9,12,16-Pentamethylheptadeca-2,6,11,15-tetraene-9-carboxylic acid",659,723,,C23H38O2,,,346,TRUE,TRUE,
766,20200803_1535_blob_766_,caice_ssa_final_0803_1535,tridecanal,0,592,2241.666667,1537,7-Methyl-Z-tetradecen-1-ol acetate,655,688,,C17H32O2,,,268,TRUE,TRUE,
1047,20200803_0949_blob_1047_,caice_ssa_final_0805_0949,tridecanal,0,578,2456.363636,1537,"Benzoic acid, tetradecyl ester",634,763,2447,C21H34O2,,,318,TRUE,TRUE,
1196,20200803_1535_blob_1196_,caice_ssa_final_0803_1535,tridecanal,454,498,1543.502825,1537,"Butanamide, 3-(2-methylpropinonylhydrazono)-N-ethyl-",583,607,,C10H19N3O2,,,213,TRUE,TRUE,
1385,20200803_0949_blob_1385_,caice_ssa_final_0805_0949,tridecanal,0,571,1881.690141,1537,"dl-2,6-Diaminoheptanedioic acid",576,631,,C7H14N2O4,,,190,TRUE,TRUE,
1172,20200803_1535_blob_1172_,caice_ssa_final_0803_1535,vanillic acid,326,370,1784.810127,1789,"Isophthalic acid, 2TMS derivative",712,765,1748,C14H22O4Si2,,,310,TRUE,TRUE,
205,20200803_1535_blob_205_,caice_ssa_final_0803_1535,vanillin,0,515,2154.198473,1557,"9,10-Anthracenedione, 1-methyl-",845,854,,C15H10O2,,,222,TRUE,TRUE,"cant confirm RI, maybe recheck"
831,20200803_0949_blob_831_,caice_ssa_final_0805_0949,vanillin,0,529,1895.774648,1557,"3-Methyl-6,7-benzoisoquinoline",700,785,,C14H11N,,,193,TRUE,TRUE,
1023,20200803_1535_blob_1023_,caice_ssa_final_0803_1535,vanillin,0,515,2316.666667,1557,"Naphtho[3,4:2,3]bornene",607,645,,C18H20,,,236,TRUE,TRUE,
874,20200803_1535_blob_874_,caice_ssa_final_0803_1535,xanthone,314,373,1909.722222,1905,"Acethydrazide, 2-(2-benzothiazolylthio)-N2-(3-fluorobenzylideno)-",665,679,,C16H12FN3OS2,,,345,TRUE,TRUE,
777,20200803_0949_blob_777_,caice_ssa_final_0805_0949,xanthone,208,366,1912.676056,1905,"3-Methyl-6,7-benzoisoquinoline",665,751,,C14H11N,,,193,TRUE,TRUE,
786,20200803_0949_blob_786_,caice_ssa_final_0805_0949,xanthone,262,286,1901.408451,1905,trans-2-Hexadecenoic acid,609,658,,C16H30O2,,,254,TRUE,TRUE,
734,20200803_0949_blob_734_oil,caice_ssa_final_0805_0949,,,,2514.545455,,"Tetrapentacontane, 1,54-dibromo-",767,787,,C54H108Br2,,,914,TRUE,TRUE,
741,20200803_0949_blob_741_oil,caice_ssa_final_0805_0949,,,,2521.818182,,17-Pentatriacontene,760,761,,C35H70,,,490,TRUE,TRUE,
715,20200803_0949_blob_715_oil,caice_ssa_final_0805_0949,,,,2501.818182,,"Ethanol, 2-(octadecyloxy)-",759,772,,C20H42O2,,,314,TRUE,TRUE,
767,20200803_0949_blob_767_oil,caice_ssa_final_0805_0949,,,,2587.272727,,"Dodecane, 1-cyclopentyl-4-(3-cyclopentylpropyl)-",743,753,,C25H48,,,348,TRUE,TRUE,
779,20200803_0949_blob_779_oil,caice_ssa_final_0805_0949,,,,2391.596639,,"Dihydrophytol, TMS derivative",740,872,,C23H50OSi,,,370,TRUE,TRUE,
885,20200803_0949_blob_885_oil,caice_ssa_final_0805_0949,,,,2704.854369,,"E,E,Z-1,3,12-Nonadecatriene-5,14-diol",722,735,,C19H34O2,,,294,TRUE,TRUE,
1097,20200803_0949_blob_1097_oil,caice_ssa_final_0805_0949,,,,2766.990291,,"Spiro[4.5]decan-7-one, 1,8-dimethyl-8,9-epoxy-4-isopropyl-",720,759,,C15H24O2,,,236,TRUE,TRUE,
961,20200803_0949_blob_961_oil,caice_ssa_final_0805_0949,,,,2726.213592,,"E,E,Z-1,3,12-Nonadecatriene-5,14-diol",719,732,,C19H34O2,,,294,TRUE,TRUE,
1128,20200803_0949_blob_1128_oil,caice_ssa_final_0805_0949,,,,2926.315789,,"4,8,13-Cyclotetradecatriene-1,3-diol, 1,5,9-trimethyl-12-(1-methylethyl)-",710,758,,C20H34O2,,,306,TRUE,TRUE,
788,20200803_0949_blob_788_oil,caice_ssa_final_0805_0949,,,,2627.184466,,tert-Hexadecanethiol,707,736,,C16H34S,,,258,TRUE,TRUE,
943,20200803_0949_blob_943_oil,caice_ssa_final_0805_0949,,,,2720.38835,,"5,6,6-Trimethyl-5-(3-oxobut-1-enyl)-1-oxaspiro[2.5]octan-4-one",707,750,,C14H20O3,,,236,TRUE,TRUE,
940,20200803_0949_blob_940_oil,caice_ssa_final_0805_0949,,,,2716.504854,,"E,E,Z-1,3,12-Nonadecatriene-5,14-diol",706,722,,C19H34O2,,,294,TRUE,TRUE,
1000,20200803_0949_blob_1000_oil,caice_ssa_final_0805_0949,,,,2739.805825,,"E,E,Z-1,3,12-Nonadecatriene-5,14-diol",704,732,,C19H34O2,,,294,TRUE,TRUE,
888,20200803_0949_blob_888_oil,caice_ssa_final_0805_0949,,,,2693.203883,,"Pentadec-7-ene, 7-bromomethyl-",702,773,,C16H31Br,,,302,TRUE,TRUE,
1107,20200803_0949_blob_1107_oil,caice_ssa_final_0805_0949,,,,2763.106796,,"E,E,Z-1,3,12-Nonadecatriene-5,14-diol",700,724,,C19H34O2,,,294,TRUE,TRUE,
942,20200803_0949_blob_942_oil,caice_ssa_final_0805_0949,,,,2712.621359,,10-Methyl-8-tetradecen-1-ol acetate,696,728,,C17H32O2,,,268,TRUE,TRUE,
709,20200803_0949_blob_709_oil,caice_ssa_final_0805_0949,,,,2463.636364,,"Ethanol, 2-(octadecyloxy)-",694,729,,C20H42O2,,,314,TRUE,TRUE,
1237,20200803_0949_blob_1237_oil,caice_ssa_final_0805_0949,,,,2877.894737,,"1,1,6-trimethyl-3-methylene-2-(3,6,9,13-tetramethyl-6-ethenye-10,14-dimethylene-pentadec-4-enyl)cyclohexane",687,763,,C33H56,,,452,TRUE,TRUE,
844,20200803_0949_blob_844_oil,caice_ssa_final_0805_0949,,,,2683.495146,,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",682,713,,C30H52O2,,,444,TRUE,TRUE,
1102,20200803_0949_blob_1102_oil,caice_ssa_final_0805_0949,,,,2761.165049,,"2-Methyl-E,E-3,13-octadecadien-1-ol",680,709,,C19H36O,,,280,TRUE,TRUE,
1129,20200803_0949_blob_1129_oil,caice_ssa_final_0805_0949,,,,2774.757282,,"Spiro[4.5]decan-7-one, 1,8-dimethyl-8,9-epoxy-4-isopropyl-",673,727,,C15H24O2,,,236,TRUE,TRUE,
753,20200803_0949_blob_753_oil,caice_ssa_final_0805_0949,,,,2518.181818,,"Propanoic acid, 2-(3-acetoxy-4,4,14-trimethylandrost-8-en-17-yl)-",618,624,,C27H42O4,,,430,TRUE,TRUE,
988,20200803_0949_blob_988_oil,caice_ssa_final_0805_0949,,,,2784.466019,,"Glycine, N-[(3α,5ß)-24-oxo-3-[(trimethylsilyl)oxy]cholan-24-yl]-, methyl ester",590,622,,C30H53NO4Si,,,519,TRUE,TRUE,
