BlobID,Compound.Name,Library.Name,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Formula_Underivitized_forMod,Cstar_Cat,Library.Molecular.Weight_NISTmain,Model_Quant,Model_Properties,Notes
693,20200803_1535_blob_693_,caice_ssa_final_0803_1535,levoglucosan,253,257,1725.316456,1727,"Benzothiazole, 2-butyl-",844,872,,C11H13NS,,,191,TRUE,TRUE,this is one of the n-btzs but not sure which
911,20200803_1535_blob_911_,caice_ssa_final_0803_1535,"linoleic Acid, TMS",139,561,2230,2245,"5-(7a-Isopropenyl-4,5-dimethyl-octahydroinden-4-yl)-3-methyl-pent-2-enal",711,809,,C20H32O,,,288,TRUE,TRUE,
916,20200803_1535_blob_916_,caice_ssa_final_0803_1535,"linoleic Acid, TMS",332,488,2253.333333,2245,"Tricyclo[8.4.1.1(3,8)]hexadeca-3,5,7,10,12,14-hexaene-2,9-dione, anti-",702,794,,C16H12O2,,,236,TRUE,TRUE,
994,20200803_1535_blob_994_,caice_ssa_final_0803_1535,"linoleic Acid, TMS",493,530,2243.333333,2245,"4-Azido-2-nitrobutyric acid, 2,6-di-t-butyl-4-methoxyphenyl ester",685,696,,C19H28N4O5,,,392,TRUE,TRUE,
942,20200803_1535_blob_942_,caice_ssa_final_0803_1535,"linoleic Acid, TMS",466,501,2250,2245,"4-Azido-2-nitrobutyric acid, 2,6-di-t-butyl-4-methoxyphenyl ester",682,691,,C19H28N4O5,,,392,TRUE,TRUE,
1153,20200803_1535_blob_1153_,caice_ssa_final_0803_1535,"linoleic Acid, TMS",435,450,2250,2245,"Benzene, 1,1'-(2,2-dichloroethylidene)bis[4-ethyl-",661,710,2224,C18H20Cl2,,,306,TRUE,TRUE,
1477,20200803_0949_blob_1477_,caice_ssa_final_0805_0949,mannosan,250,296,1700,1706,N-n-Butylphthalimide,753,822,,C12H13NO2,,,203,TRUE,TRUE,
889,20200803_1535_blob_889_,caice_ssa_final_0803_1535,MBTCA,286,332,1782.278481,1776,"Benzenamine, 2,4,6-tris(1,1-dimethylethyl)-",756,781,,C18H31N,,,261,TRUE,TRUE,
1458,20200803_0949_blob_1458_,caice_ssa_final_0805_0949,MBTCA,226,378,1783.544304,1776,"1,2-Longidione",602,684,,C15H22O2,,,234,TRUE,TRUE,
1148,20200803_1535_blob_1148_oil,caice_ssa_final_0803_1535,monostearin,384,412,2826.804124,2827,"4,8,13-Cyclotetradecatriene-1,3-diol, 1,5,9-trimethyl-12-(1-methylethyl)-",743,811,,C20H34O2,,,306,TRUE,TRUE,
1550,20200803_1535_blob_1550_,caice_ssa_final_0803_1535,monostearin,198,343,2835.051546,2827,"17.alfa.,21ß-28,30-Bisnorhopane",696,742,,C28H48,,,384,TRUE,TRUE,
1084,20200803_1535_blob_1084_oil,caice_ssa_final_0803_1535,monostearin TMS,414,487,2794.174757,2788,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",748,790,,C30H52O2,,,444,TRUE,TRUE,
1072,20200803_1535_blob_1072_oil,caice_ssa_final_0803_1535,monostearin TMS,253,488,2778.640777,2788,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",747,794,,C30H52O2,,,444,TRUE,TRUE,
1167,20200803_1535_blob_1167_oil,caice_ssa_final_0803_1535,monostearin TMS,455,490,2786.407767,2788,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",744,792,,C30H52O2,,,444,TRUE,TRUE,
1124,20200803_1535_blob_1124_oil,caice_ssa_final_0803_1535,monostearin TMS,467,506,2784.466019,2788,"2,2-Dimethyl-6-methylene-1-[3,5-dihydroxy-1-pentenyl]cyclohexan-1-perhydrol",629,760,,C14H24O4,,,256,TRUE,TRUE,
852,20200803_1535_blob_852_,caice_ssa_final_0803_1535,nonanenitrile,0,591,2437.837838,1202,Phorbol,718,729,,C20H28O6,,,364,TRUE,TRUE,
971,20200803_1535_blob_971_,caice_ssa_final_0803_1535,nonanenitrile,0,668,1678.481013,1202,5-Isopropenyl-2-methyl-7-oxabicyclo[4.1.0]heptan-2-ol,656,718,,C10H16O2,,,168,TRUE,TRUE,
911,20200803_0949_blob_911_,caice_ssa_final_0805_0949,nonanenitrile,0,594,1963.380282,1202,"Cyclohexylamine, N-(2-chlorocyclopentylidene)-, N-oxide",637,700,,C11H18ClNO,,,215,TRUE,TRUE,
