,Compound.Name,slope.avg,d_alkane_RTI,inverse_slope,Category
107,squalene,0.004868786,2867,205.3900106,Alkane
108,stigmasterol,0.003796243,3346,263.4183512,Sterol
109,syringaldehyde,0.000397486,1725,2515.813615,Aldehyde
110,syringic acid,0.000301011,1926,3322.137382,Acid
111,syringol,0.060740669,1418,16.46343418,Alcohol
112,"Tartaric acid, 4TMS",0.000608189,1659,1644.226003,Acid
113,threitol,0.023988709,1521,41.68627837,Alcohol
114,trans ferulic acid,0.00042076,2124,2376.652193,Acid
115,triacetin,0.00750784,1351,133.1941078,Misc
116,Tricarballylic acid,0.000251398,1757,3977.762035,Acid
117,tridecanal,0.214032534,1537,4.672186893,Aldehyde
118,vanillic acid,0.000270972,1789,3690.420271,Acid
119,vanillin,0.03915135,1557,25.54190323,Aldehyde
120,xanthone,0.000754118,1905,1326.053007,Ketone
